,location_key,life_expectancy,smoking_prevalence,diabetes_prevalence,hospital_beds_per_1000,health_expenditure_usd,population,len
0,AD,,33.5,7.7,,4040.786621,77265.0,2
1,AE,77.814,28.9,16.3,,1357.017456,9890400.0,2
2,AF,64.486,,9.2,0.5,67.12265,38928341.0,2
3,AG,76.885,,13.1,,673.85968,97928.0,2
4,AL,78.9,28.7,9.0,,,2862427.0,2
5,AM,74.945,24.1,6.1,4.2,407.635864,2963234.0,2
6,AO,60.782,,4.5,,114.459641,32866267.0,2
7,AR,76.52,21.8,5.9,,1324.603516,44938712.0,2
8,AT,81.8,29.6,6.6,,4939.875488,8858775.0,2
18,AU,82.74878,14.7,5.6,,5331.817871,25499881.0,2
19,AW,76.152,,11.6,,,106766.0,2
20,AZ,72.864,20.8,6.1,,275.809357,10139175.0,2
21,BA,77.262,38.9,9.0,,460.473328,3280815.0,2
22,BB,79.081,7.8,13.4,,1183.836182,287371.0,2
23,BD,72.32,23.0,9.2,0.8,36.282337,164689383.0,2
24,BE,81.7,28.2,4.6,,4507.356445,11455519.0,2
36,BF,61.174,12.5,7.3,,44.403492,20903278.0,2
37,BG,75.0,37.0,6.0,,663.715088,7000039.0,2
38,BH,77.163,26.4,15.6,,1127.186279,1701583.0,2
39,BI,61.247,,5.1,,23.500433,11890781.0,2
40,BJ,61.47,6.4,1.0,,30.766447,12123198.0,2
41,BM,81.651707,,6.7,,,62273.0,2
42,BN,75.722,16.9,13.3,2.7,671.411499,437483.0,2
43,BO,71.239,,6.8,,220.274567,11673029.0,2
44,BR,75.672,13.9,10.4,,928.799316,212559409.0,2
45,BS,73.752,11.5,8.8,,1771.535522,393248.0,2
46,BT,71.46,,10.3,,96.799301,771612.0,2
47,BW,69.275,20.0,5.8,,465.929321,2351625.0,2
48,BY,74.17561,26.7,5.0,,342.499908,9449321.0,2
49,BZ,74.496,,17.1,,280.49881,397621.0,2
50,CA,81.94878,14.3,7.6,,4754.947754,37742157.0,2
59,CD,60.368,,6.0,,19.431646,89561404.0,2
60,CF,52.805,,6.0,,24.150055,4829764.0,2
61,CG,64.29,26.9,6.0,,49.983723,5518092.0,2
62,CH,83.8,25.7,5.7,,9956.259766,8544527.0,2
89,CI,57.422,,2.4,,69.749245,26378275.0,2
90,CL,80.042,37.8,8.6,,1381.986206,17574003.0,2
91,CM,58.921,,6.0,,67.811813,26545864.0,2
92,CN,76.704,25.6,9.2,,440.825623,1439323774.0,2
93,CO,77.109,9.0,7.4,,459.197571,50882884.0,2
94,CR,80.095,11.9,9.1,1.2,869.077759,5094114.0,2
95,CU,78.726,35.2,9.6,,987.627014,11326616.0,2
96,CV,72.782,9.1,2.4,,167.589615,555988.0,2
97,CW,78.017073,,11.6,,,164100.0,2
98,CY,82.9,36.4,9.0,,1731.694458,875899.0,2
99,CZ,79.1,34.3,7.0,6.5,1475.915161,10649800.0,2
114,DE,81.0,30.6,10.4,,5033.452148,83019213.0,2
