,date,location_key,cumulative_hospitalized_patients,len
0,0022-01-10,AR,0.0,2
1,0022-01-20,AR,0.0,2
2,0202-03-30,AR,0.0,2
3,0221-07-06,AR,0.0,2
4,1202-01-07,AR,0.0,2
5,1202-01-12,AR,0.0,2
6,1202-10-11,AR,0.0,2
7,1202-11-12,AR,0.0,2
8,1961-01-21,AR,0.0,2
9,1969-12-31,AR,0.0,2
10,2001-01-29,AR,0.0,2
11,2001-02-13,AR,0.0,2
12,2002-01-07,AR,0.0,2
13,2002-01-09,AR,0.0,2
14,2002-01-18,AR,0.0,2
15,2002-02-22,AR,0.0,2
16,2002-05-27,AR,0.0,2
17,2002-06-25,AR,0.0,2
18,2002-06-28,AR,0.0,2
19,2002-07-03,AR,0.0,2
20,2002-08-30,AR,0.0,2
21,2002-09-07,AR,0.0,2
22,2002-10-09,AR,0.0,2
23,2002-10-11,AR,0.0,2
24,2002-10-21,AR,0.0,2
25,2002-11-06,AR,0.0,2
26,2002-11-09,AR,0.0,2
27,2002-12-26,AR,0.0,2
28,2002-12-29,AR,0.0,2
29,2008-08-13,AR,0.0,2
30,2011-01-09,AR,0.0,2
31,2011-09-10,AR,0.0,2
32,2011-11-09,AR,0.0,2
33,2012-01-30,AR,0.0,2
34,2012-05-13,AR,0.0,2
35,2012-06-23,AR,0.0,2
36,2012-09-21,AR,0.0,2
37,2012-10-21,AR,0.0,2
38,2012-12-21,AR,0.0,2
39,2012-12-22,AR,0.0,2
40,2012-12-23,AR,0.0,2
41,2017-05-27,AR,0.0,2
42,2018-06-30,AR,0.0,2
43,2018-10-01,AR,0.0,2
44,2018-11-21,AR,0.0,2
45,2019-03-30,AR,0.0,2
46,2019-04-19,AR,0.0,2
47,2019-04-30,AR,0.0,2
48,2019-07-13,AR,0.0,2
49,2019-08-26,AR,0.0,2
50,2019-09-30,AR,0.0,2
51,2019-10-03,AR,0.0,2
52,2019-10-05,AR,0.0,2
53,2019-10-14,AR,0.0,2
54,2019-10-16,AR,0.0,2
55,2019-10-18,AR,0.0,2
56,2019-10-20,AR,0.0,2
57,2019-10-25,AR,0.0,2
58,2019-10-27,AR,0.0,2
59,2019-10-30,AR,0.0,2
60,2019-11-04,AR,0.0,2
61,2019-11-12,AR,0.0,2
62,2019-11-20,AR,0.0,2
63,2019-12-09,AR,0.0,2
64,2019-12-19,AR,0.0,2
65,2019-12-20,AR,0.0,2
66,2019-12-21,AR,0.0,2
67,2019-12-22,AR,0.0,2
68,2019-12-28,AR,0.0,2
69,2019-12-29,AR,0.0,2
70,2020-01-01,AR,1.0,2
71,2020-01-02,AR,1.0,2
72,2020-01-03,AR,1.0,2
73,2020-01-04,AR,1.0,2
74,2020-01-05,AR,2.0,2
75,2020-01-06,AR,2.0,2
76,2020-01-07,AR,5.0,2
77,2020-01-08,AR,6.0,2
78,2020-01-09,AR,6.0,2
79,2020-01-10,AR,6.0,2
80,2020-01-11,AR,6.0,2
81,2020-01-12,AR,6.0,2
82,2020-01-13,AR,7.0,2
