,date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,len
0,2021-01-25,AD,,576.0,2
1,2021-02-01,AD,460.0,1036.0,2
2,2021-02-10,AD,255.0,1291.0,2
3,2021-02-12,AD,331.0,1622.0,2
4,2021-02-19,AD,519.0,2141.0,2
5,2021-02-24,AD,249.0,2390.0,2
6,2021-02-26,AD,0.0,,2
7,2021-03-08,AD,49.0,2439.0,2
8,2021-03-10,AD,1211.0,3650.0,2
9,2021-03-15,AD,3448.0,7098.0,2
10,2021-03-19,AD,0.0,,2
11,2021-04-04,AD,0.0,,2
12,2021-04-05,AD,2683.0,9781.0,2
13,2021-04-11,AD,0.0,,2
14,2021-04-12,AD,0.0,,2
15,2021-04-19,AD,11952.0,21733.0,2
16,2021-04-26,AD,2089.0,23822.0,2
17,2021-05-03,AD,360.0,24182.0,2
18,2021-05-10,AD,2749.0,26931.0,2
19,2021-05-17,AD,682.0,27613.0,2
20,2021-05-31,AD,0.0,27613.0,2
21,2021-06-07,AD,2922.0,30535.0,2
22,2021-06-14,AD,4111.0,34646.0,2
23,2021-06-21,AD,4021.0,38667.0,2
24,2021-06-28,AD,3049.0,41716.0,2
25,2021-07-12,AD,1292.0,43008.0,2
26,2021-07-19,AD,5437.0,48445.0,2
27,2021-08-01,AD,2302.0,50747.0,2
28,2021-08-15,AD,297.0,51044.0,2
29,2021-08-29,AD,1866.0,52910.0,2
30,2021-09-26,AD,1402.0,54312.0,2
31,2021-10-03,AD,71.0,54383.0,2
32,2021-10-31,AD,616.0,54999.0,2
33,2021-12-05,AD,1096.0,56095.0,2
34,2021-12-12,AD,533.0,56628.0,2
35,2021-12-26,AD,457.0,57085.0,2
36,2022-01-16,AD,558.0,57643.0,2
37,2022-01-23,AD,66.0,57709.0,2
38,2022-02-06,AD,82.0,57791.0,2
39,2022-02-13,AD,6.0,57797.0,2
40,2022-02-20,AD,8.0,57805.0,2
41,2022-03-13,AD,12.0,57817.0,2
42,2022-03-27,AD,18.0,57835.0,2
43,2022-04-10,AD,15.0,57850.0,2
44,2022-04-24,AD,16.0,57866.0,2
45,2022-05-01,AD,8.0,57874.0,2
46,2022-05-22,AD,4.0,57878.0,2
47,2022-05-29,AD,2.0,57880.0,2
48,2022-06-12,AD,3.0,57883.0,2
49,2022-06-26,AD,3.0,57886.0,2
50,2022-07-03,AD,2.0,57888.0,2
51,2022-07-10,AD,0.0,57888.0,2
52,2022-08-21,AD,4.0,57892.0,2
53,2022-09-04,AD,1.0,57893.0,2
54,2021-01-05,AE,,,2
55,2021-01-07,AE,,,2
56,2021-01-08,AE,,,2
57,2021-01-09,AE,,,2
58,2021-01-10,AE,,836568.0,2
59,2021-01-11,AE,0.0,,2
60,2021-01-12,AE,0.0,,2
61,2021-01-13,AE,0.0,,2
62,2021-01-14,AE,0.0,,2
63,2021-01-15,AE,0.0,,2
64,2021-01-16,AE,0.0,,2
65,2021-01-17,AE,0.0,,2
66,2021-01-18,AE,0.0,,2
67,2021-01-19,AE,0.0,,2
68,2021-01-20,AE,0.0,,2
69,2021-01-21,AE,0.0,,2
70,2021-01-22,AE,0.0,,2
71,2021-01-23,AE,0.0,,2
72,2021-01-24,AE,0.0,,2
73,2021-01-25,AE,0.0,,2
74,2021-01-26,AE,0.0,,2
75,2021-01-27,AE,0.0,,2
76,2021-01-28,AE,0.0,,2
77,2021-01-29,AE,0.0,,2
78,2021-01-30,AE,0.0,,2
79,2021-01-31,AE,0.0,,2
80,2021-02-01,AE,0.0,,2
81,2021-02-02,AE,0.0,,2
82,2021-02-03,AE,0.0,,2
83,2021-02-04,AE,0.0,,2
84,2021-02-05,AE,0.0,,2
85,2021-02-06,AE,0.0,,2
86,2021-02-07,AE,0.0,,2
87,2021-02-08,AE,0.0,,2
88,2021-02-09,AE,0.0,,2
89,2021-02-10,AE,0.0,,2
90,2021-02-11,AE,0.0,,2
91,2021-02-12,AE,0.0,,2
92,2021-02-13,AE,0.0,,2
93,2021-02-14,AE,0.0,,2
94,2021-02-15,AE,0.0,,2
95,2021-02-16,AE,0.0,,2
96,2021-02-17,AE,0.0,,2
97,2021-02-18,AE,0.0,,2
98,2021-02-19,AE,0.0,,2
99,2021-02-20,AE,0.0,,2
100,2021-02-21,AE,0.0,,2
101,2021-02-22,AE,0.0,,2
102,2021-02-23,AE,2643847.0,3480415.0,2
103,2021-02-24,AE,0.0,,2
104,2021-02-25,AE,0.0,,2
105,2021-02-26,AE,0.0,,2
